scheme	src_ref	dst_ref	note
MT	Dan.6.23	Dan.6.22	empirical sequence alignment, gloss-validated
MT	Dan.6.24	Dan.6.23	empirical sequence alignment, gloss-validated
MT	Dan.6.25	Dan.6.24	empirical sequence alignment, gloss-validated
MT	Dan.6.26	Dan.6.25	empirical sequence alignment, gloss-validated
MT	Dan.6.27	Dan.6.26	empirical sequence alignment, gloss-validated
MT	Dan.6.28	Dan.6.27	empirical sequence alignment, gloss-validated
MT	Dan.6.29	Dan.6.28	empirical sequence alignment, gloss-validated
MT	Dan.6.3	Dan.6.2	empirical sequence alignment, gloss-validated
MT	Dan.6.4	Dan.6.3	empirical sequence alignment, gloss-validated
MT	Dan.6.5	Dan.6.4	empirical sequence alignment, gloss-validated
MT	Dan.6.6	Dan.6.5	empirical sequence alignment, gloss-validated
MT	Dan.6.7	Dan.6.6	empirical sequence alignment, gloss-validated
MT	Dan.6.8	Dan.6.7	empirical sequence alignment, gloss-validated
MT	Dan.6.9	Dan.6.8	empirical sequence alignment, gloss-validated
MT	Deut.13.1	Deut.12.32	empirical sequence alignment, gloss-validated
MT	Deut.13.10	Deut.13.9	empirical sequence alignment, gloss-validated
MT	Deut.13.11	Deut.13.10	empirical sequence alignment, gloss-validated
MT	Deut.13.12	Deut.13.11	empirical sequence alignment, gloss-validated
MT	Deut.13.13	Deut.13.12	empirical sequence alignment, gloss-validated
MT	Deut.13.14	Deut.13.13	empirical sequence alignment, gloss-validated
MT	Deut.13.15	Deut.13.14	empirical sequence alignment, gloss-validated
MT	Deut.13.16	Deut.13.15	empirical sequence alignment, gloss-validated
MT	Deut.13.17	Deut.13.16	empirical sequence alignment, gloss-validated
MT	Deut.13.18	Deut.13.17	empirical sequence alignment, gloss-validated
MT	Deut.13.19	Deut.13.18	empirical sequence alignment, gloss-validated
MT	Deut.13.2	Deut.13.1	empirical sequence alignment, gloss-validated
MT	Deut.13.3	Deut.13.2	empirical sequence alignment, gloss-validated
MT	Deut.13.4	Deut.13.3	empirical sequence alignment, gloss-validated
MT	Deut.13.5	Deut.13.4	empirical sequence alignment, gloss-validated
MT	Deut.13.6	Deut.13.5	empirical sequence alignment, gloss-validated
MT	Deut.13.7	Deut.13.6	empirical sequence alignment, gloss-validated
MT	Deut.13.8	Deut.13.7	empirical sequence alignment, gloss-validated
MT	Deut.13.9	Deut.13.8	empirical sequence alignment, gloss-validated
MT	Deut.23.1	Deut.22.30	empirical sequence alignment, gloss-validated
MT	Deut.23.10	Deut.23.9	empirical sequence alignment, gloss-validated
MT	Deut.23.11	Deut.23.10	empirical sequence alignment, gloss-validated
MT	Deut.23.12	Deut.23.11	empirical sequence alignment, gloss-validated
MT	Deut.23.13	Deut.23.12	empirical sequence alignment, gloss-validated
MT	Deut.23.14	Deut.23.13	empirical sequence alignment, gloss-validated
MT	Deut.23.15	Deut.23.14	empirical sequence alignment, gloss-validated
MT	Deut.23.16	Deut.23.15	empirical sequence alignment, gloss-validated
MT	Deut.23.17	Deut.23.16	empirical sequence alignment, gloss-validated
MT	Deut.23.18	Deut.23.17	empirical sequence alignment, gloss-validated
MT	Deut.23.19	Deut.23.18	empirical sequence alignment, gloss-validated
MT	Deut.23.2	Deut.23.1	empirical sequence alignment, gloss-validated
MT	Deut.23.20	Deut.23.19	empirical sequence alignment, gloss-validated
MT	Deut.23.21	Deut.23.20	empirical sequence alignment, gloss-validated
MT	Deut.23.22	Deut.23.21	empirical sequence alignment, gloss-validated
MT	Deut.23.23	Deut.23.22	empirical sequence alignment, gloss-validated
MT	Deut.23.24	Deut.23.23	empirical sequence alignment, gloss-validated
MT	Deut.23.25	Deut.23.24	empirical sequence alignment, gloss-validated
MT	Deut.23.26	Deut.23.25	empirical sequence alignment, gloss-validated
MT	Deut.23.3	Deut.23.2	empirical sequence alignment, gloss-validated
MT	Deut.23.4	Deut.23.3	empirical sequence alignment, gloss-validated
MT	Deut.23.5	Deut.23.4	empirical sequence alignment, gloss-validated
MT	Deut.23.6	Deut.23.5	empirical sequence alignment, gloss-validated
MT	Deut.23.7	Deut.23.6	empirical sequence alignment, gloss-validated
MT	Deut.23.8	Deut.23.7	empirical sequence alignment, gloss-validated
MT	Deut.23.9	Deut.23.8	empirical sequence alignment, gloss-validated
MT	Deut.28.69	Deut.29.1	empirical sequence alignment, gloss-validated
MT	Deut.29.1	Deut.29.2	empirical sequence alignment, gloss-validated
MT	Deut.29.10	Deut.29.11	empirical sequence alignment, gloss-validated
MT	Deut.29.11	Deut.29.12	empirical sequence alignment, gloss-validated
MT	Deut.29.12	Deut.29.13	empirical sequence alignment, gloss-validated
MT	Deut.29.13	Deut.29.14	empirical sequence alignment, gloss-validated
MT	Deut.29.14	Deut.29.15	empirical sequence alignment, gloss-validated
MT	Deut.29.15	Deut.29.16	empirical sequence alignment, gloss-validated
MT	Deut.29.16	Deut.29.17	empirical sequence alignment, gloss-validated
MT	Deut.29.17	Deut.29.18	empirical sequence alignment, gloss-validated
MT	Deut.29.18	Deut.29.19	empirical sequence alignment, gloss-validated
MT	Deut.29.19	Deut.29.20	empirical sequence alignment, gloss-validated
MT	Deut.29.2	Deut.29.3	empirical sequence alignment, gloss-validated
MT	Deut.29.20	Deut.29.21	empirical sequence alignment, gloss-validated
MT	Deut.29.21	Deut.29.22	empirical sequence alignment, gloss-validated
MT	Deut.29.22	Deut.29.23	empirical sequence alignment, gloss-validated
MT	Deut.29.23	Deut.29.24	empirical sequence alignment, gloss-validated
MT	Deut.29.24	Deut.29.25	empirical sequence alignment, gloss-validated
MT	Deut.29.25	Deut.29.26	empirical sequence alignment, gloss-validated
MT	Deut.29.26	Deut.29.27	empirical sequence alignment, gloss-validated
MT	Deut.29.27	Deut.29.28	empirical sequence alignment, gloss-validated
MT	Deut.29.28	Deut.29.29	empirical sequence alignment, gloss-validated
MT	Deut.29.3	Deut.29.4	empirical sequence alignment, gloss-validated
MT	Deut.29.4	Deut.29.5	empirical sequence alignment, gloss-validated
MT	Deut.29.5	Deut.29.6	empirical sequence alignment, gloss-validated
MT	Deut.29.6	Deut.29.7	empirical sequence alignment, gloss-validated
MT	Deut.29.7	Deut.29.8	empirical sequence alignment, gloss-validated
MT	Deut.29.8	Deut.29.9	empirical sequence alignment, gloss-validated
MT	Deut.29.9	Deut.29.10	empirical sequence alignment, gloss-validated
MT	Eccl.4.17	Eccl.5.1	empirical sequence alignment, gloss-validated
MT	Eccl.5.1	Eccl.5.2	empirical sequence alignment, gloss-validated
MT	Eccl.5.10	Eccl.5.11	empirical sequence alignment, gloss-validated
MT	Eccl.5.11	Eccl.5.12	empirical sequence alignment, gloss-validated
MT	Eccl.5.12	Eccl.5.13	empirical sequence alignment, gloss-validated
MT	Eccl.5.13	Eccl.5.14	empirical sequence alignment, gloss-validated
MT	Eccl.5.14	Eccl.5.15	empirical sequence alignment, gloss-validated
MT	Eccl.5.15	Eccl.5.16	empirical sequence alignment, gloss-validated
MT	Eccl.5.16	Eccl.5.17	empirical sequence alignment, gloss-validated
MT	Eccl.5.17	Eccl.5.18	empirical sequence alignment, gloss-validated
MT	Eccl.5.18	Eccl.5.19	empirical sequence alignment, gloss-validated
MT	Eccl.5.19	Eccl.5.20	empirical sequence alignment, gloss-validated
MT	Eccl.5.2	Eccl.5.3	empirical sequence alignment, gloss-validated
MT	Eccl.5.3	Eccl.5.4	empirical sequence alignment, gloss-validated
MT	Eccl.5.4	Eccl.5.5	empirical sequence alignment, gloss-validated
MT	Eccl.5.5	Eccl.5.6	empirical sequence alignment, gloss-validated
MT	Eccl.5.6	Eccl.5.7	empirical sequence alignment, gloss-validated
MT	Eccl.5.7	Eccl.5.8	empirical sequence alignment, gloss-validated
MT	Eccl.5.8	Eccl.5.9	empirical sequence alignment, gloss-validated
MT	Eccl.5.9	Eccl.5.10	empirical sequence alignment, gloss-validated
MT	Exod.21.37	Exod.22.1	empirical sequence alignment, gloss-validated
MT	Exod.22.1	Exod.22.2	empirical sequence alignment, gloss-validated
MT	Exod.22.10	Exod.22.11	empirical sequence alignment, gloss-validated
MT	Exod.22.11	Exod.22.12	empirical sequence alignment, gloss-validated
MT	Exod.22.12	Exod.22.13	empirical sequence alignment, gloss-validated
MT	Exod.22.13	Exod.22.14	empirical sequence alignment, gloss-validated
MT	Exod.22.14	Exod.22.15	empirical sequence alignment, gloss-validated
MT	Exod.22.15	Exod.22.16	empirical sequence alignment, gloss-validated
MT	Exod.22.16	Exod.22.17	empirical sequence alignment, gloss-validated
MT	Exod.22.17	Exod.22.18	empirical sequence alignment, gloss-validated
MT	Exod.22.18	Exod.22.19	empirical sequence alignment, gloss-validated
MT	Exod.22.19	Exod.22.20	empirical sequence alignment, gloss-validated
MT	Exod.22.2	Exod.22.3	empirical sequence alignment, gloss-validated
MT	Exod.22.20	Exod.22.21	empirical sequence alignment, gloss-validated
MT	Exod.22.21	Exod.22.22	empirical sequence alignment, gloss-validated
MT	Exod.22.22	Exod.22.23	empirical sequence alignment, gloss-validated
MT	Exod.22.23	Exod.22.24	empirical sequence alignment, gloss-validated
MT	Exod.22.24	Exod.22.25	empirical sequence alignment, gloss-validated
MT	Exod.22.25	Exod.22.26	empirical sequence alignment, gloss-validated
MT	Exod.22.26	Exod.22.27	empirical sequence alignment, gloss-validated
MT	Exod.22.27	Exod.22.28	empirical sequence alignment, gloss-validated
MT	Exod.22.28	Exod.22.29	empirical sequence alignment, gloss-validated
MT	Exod.22.29	Exod.22.30	empirical sequence alignment, gloss-validated
MT	Exod.22.3	Exod.22.4	empirical sequence alignment, gloss-validated
MT	Exod.22.30	Exod.22.31	empirical sequence alignment, gloss-validated
MT	Exod.22.4	Exod.22.5	empirical sequence alignment, gloss-validated
MT	Exod.22.5	Exod.22.6	empirical sequence alignment, gloss-validated
MT	Exod.22.6	Exod.22.7	empirical sequence alignment, gloss-validated
MT	Exod.22.7	Exod.22.8	empirical sequence alignment, gloss-validated
MT	Exod.22.8	Exod.22.9	empirical sequence alignment, gloss-validated
MT	Exod.22.9	Exod.22.10	empirical sequence alignment, gloss-validated
MT	Exod.7.26	Exod.8.1	empirical sequence alignment, gloss-validated
MT	Exod.7.27	Exod.8.2	empirical sequence alignment, gloss-validated
MT	Exod.7.28	Exod.8.3	empirical sequence alignment, gloss-validated
MT	Exod.7.29	Exod.8.4	empirical sequence alignment, gloss-validated
MT	Exod.8.1	Exod.8.5	empirical sequence alignment, gloss-validated
MT	Exod.8.10	Exod.8.14	empirical sequence alignment, gloss-validated
MT	Exod.8.11	Exod.8.15	empirical sequence alignment, gloss-validated
MT	Exod.8.12	Exod.8.16	empirical sequence alignment, gloss-validated
MT	Exod.8.13	Exod.8.17	empirical sequence alignment, gloss-validated
MT	Exod.8.14	Exod.8.18	empirical sequence alignment, gloss-validated
MT	Exod.8.15	Exod.8.19	empirical sequence alignment, gloss-validated
MT	Exod.8.16	Exod.8.20	empirical sequence alignment, gloss-validated
MT	Exod.8.17	Exod.8.21	empirical sequence alignment, gloss-validated
MT	Exod.8.18	Exod.8.22	empirical sequence alignment, gloss-validated
MT	Exod.8.19	Exod.8.23	empirical sequence alignment, gloss-validated
MT	Exod.8.2	Exod.8.6	empirical sequence alignment, gloss-validated
MT	Exod.8.20	Exod.8.24	empirical sequence alignment, gloss-validated
MT	Exod.8.21	Exod.8.25	empirical sequence alignment, gloss-validated
MT	Exod.8.22	Exod.8.26	empirical sequence alignment, gloss-validated
MT	Exod.8.23	Exod.8.27	empirical sequence alignment, gloss-validated
MT	Exod.8.24	Exod.8.28	empirical sequence alignment, gloss-validated
MT	Exod.8.25	Exod.8.29	empirical sequence alignment, gloss-validated
MT	Exod.8.26	Exod.8.30	empirical sequence alignment, gloss-validated
MT	Exod.8.27	Exod.8.31	empirical sequence alignment, gloss-validated
MT	Exod.8.28	Exod.8.32	empirical sequence alignment, gloss-validated
MT	Exod.8.3	Exod.8.7	empirical sequence alignment, gloss-validated
MT	Exod.8.4	Exod.8.8	empirical sequence alignment, gloss-validated
MT	Exod.8.5	Exod.8.9	empirical sequence alignment, gloss-validated
MT	Exod.8.6	Exod.8.10	empirical sequence alignment, gloss-validated
MT	Exod.8.7	Exod.8.11	empirical sequence alignment, gloss-validated
MT	Exod.8.8	Exod.8.12	empirical sequence alignment, gloss-validated
MT	Exod.8.9	Exod.8.13	empirical sequence alignment, gloss-validated
MT	Ezek.21.1	Ezek.20.45	empirical sequence alignment, gloss-validated
MT	Ezek.21.10	Ezek.21.5	empirical sequence alignment, gloss-validated
MT	Ezek.21.11	Ezek.21.6	empirical sequence alignment, gloss-validated
MT	Ezek.21.12	Ezek.21.7	empirical sequence alignment, gloss-validated
MT	Ezek.21.13	Ezek.21.8	empirical sequence alignment, gloss-validated
MT	Ezek.21.14	Ezek.21.9	empirical sequence alignment, gloss-validated
MT	Ezek.21.15	Ezek.21.10	empirical sequence alignment, gloss-validated
MT	Ezek.21.16	Ezek.21.11	empirical sequence alignment, gloss-validated
MT	Ezek.21.17	Ezek.21.12	empirical sequence alignment, gloss-validated
MT	Ezek.21.18	Ezek.21.13	empirical sequence alignment, gloss-validated
MT	Ezek.21.19	Ezek.21.14	empirical sequence alignment, gloss-validated
MT	Ezek.21.2	Ezek.20.46	empirical sequence alignment, gloss-validated
MT	Ezek.21.20	Ezek.21.15	empirical sequence alignment, gloss-validated
MT	Ezek.21.21	Ezek.21.16	empirical sequence alignment, gloss-validated
MT	Ezek.21.22	Ezek.21.17	empirical sequence alignment, gloss-validated
MT	Ezek.21.23	Ezek.21.18	empirical sequence alignment, gloss-validated
MT	Ezek.21.24	Ezek.21.19	empirical sequence alignment, gloss-validated
MT	Ezek.21.25	Ezek.21.20	empirical sequence alignment, gloss-validated
MT	Ezek.21.26	Ezek.21.21	empirical sequence alignment, gloss-validated
MT	Ezek.21.27	Ezek.21.22	empirical sequence alignment, gloss-validated
MT	Ezek.21.28	Ezek.21.23	empirical sequence alignment, gloss-validated
MT	Ezek.21.29	Ezek.21.24	empirical sequence alignment, gloss-validated
MT	Ezek.21.3	Ezek.20.47	empirical sequence alignment, gloss-validated
MT	Ezek.21.30	Ezek.21.25	empirical sequence alignment, gloss-validated
MT	Ezek.21.31	Ezek.21.26	empirical sequence alignment, gloss-validated
MT	Ezek.21.32	Ezek.21.27	empirical sequence alignment, gloss-validated
MT	Ezek.21.33	Ezek.21.28	empirical sequence alignment, gloss-validated
MT	Ezek.21.34	Ezek.21.29	empirical sequence alignment, gloss-validated
MT	Ezek.21.35	Ezek.21.30	empirical sequence alignment, gloss-validated
MT	Ezek.21.36	Ezek.21.31	empirical sequence alignment, gloss-validated
MT	Ezek.21.37	Ezek.21.32	empirical sequence alignment, gloss-validated
MT	Ezek.21.4	Ezek.20.48	empirical sequence alignment, gloss-validated
MT	Ezek.21.5	Ezek.20.49	empirical sequence alignment, gloss-validated
MT	Ezek.21.6	Ezek.21.1	empirical sequence alignment, gloss-validated
MT	Ezek.21.7	Ezek.21.2	empirical sequence alignment, gloss-validated
MT	Ezek.21.8	Ezek.21.3	empirical sequence alignment, gloss-validated
MT	Ezek.21.9	Ezek.21.4	empirical sequence alignment, gloss-validated
MT	Gen.32.1	Gen.31.55	empirical sequence alignment, gloss-validated
MT	Gen.32.10	Gen.32.9	empirical sequence alignment, gloss-validated
MT	Gen.32.11	Gen.32.10	empirical sequence alignment, gloss-validated
MT	Gen.32.12	Gen.32.11	empirical sequence alignment, gloss-validated
MT	Gen.32.13	Gen.32.12	empirical sequence alignment, gloss-validated
MT	Gen.32.14	Gen.32.13	empirical sequence alignment, gloss-validated
MT	Gen.32.15	Gen.32.14	empirical sequence alignment, gloss-validated
MT	Gen.32.16	Gen.32.15	empirical sequence alignment, gloss-validated
MT	Gen.32.17	Gen.32.16	empirical sequence alignment, gloss-validated
MT	Gen.32.18	Gen.32.17	empirical sequence alignment, gloss-validated
MT	Gen.32.19	Gen.32.18	empirical sequence alignment, gloss-validated
MT	Gen.32.2	Gen.32.1	empirical sequence alignment, gloss-validated
MT	Gen.32.20	Gen.32.19	empirical sequence alignment, gloss-validated
MT	Gen.32.21	Gen.32.20	empirical sequence alignment, gloss-validated
MT	Gen.32.22	Gen.32.21	empirical sequence alignment, gloss-validated
MT	Gen.32.23	Gen.32.22	empirical sequence alignment, gloss-validated
MT	Gen.32.24	Gen.32.23	empirical sequence alignment, gloss-validated
MT	Gen.32.25	Gen.32.24	empirical sequence alignment, gloss-validated
MT	Gen.32.26	Gen.32.25	empirical sequence alignment, gloss-validated
MT	Gen.32.27	Gen.32.26	empirical sequence alignment, gloss-validated
MT	Gen.32.28	Gen.32.27	empirical sequence alignment, gloss-validated
MT	Gen.32.29	Gen.32.28	empirical sequence alignment, gloss-validated
MT	Gen.32.3	Gen.32.2	empirical sequence alignment, gloss-validated
MT	Gen.32.30	Gen.32.29	empirical sequence alignment, gloss-validated
MT	Gen.32.31	Gen.32.30	empirical sequence alignment, gloss-validated
MT	Gen.32.32	Gen.32.31	empirical sequence alignment, gloss-validated
MT	Gen.32.33	Gen.32.32	empirical sequence alignment, gloss-validated
MT	Gen.32.4	Gen.32.3	empirical sequence alignment, gloss-validated
MT	Gen.32.5	Gen.32.4	empirical sequence alignment, gloss-validated
MT	Gen.32.6	Gen.32.5	empirical sequence alignment, gloss-validated
MT	Gen.32.7	Gen.32.6	empirical sequence alignment, gloss-validated
MT	Gen.32.8	Gen.32.7	empirical sequence alignment, gloss-validated
MT	Gen.32.9	Gen.32.8	empirical sequence alignment, gloss-validated
MT	Hos.12.1	Hos.11.12	empirical sequence alignment, gloss-validated
MT	Hos.12.10	Hos.12.9	empirical sequence alignment, gloss-validated
MT	Hos.12.11	Hos.12.10	empirical sequence alignment, gloss-validated
MT	Hos.12.12	Hos.12.11	empirical sequence alignment, gloss-validated
MT	Hos.12.13	Hos.12.12	empirical sequence alignment, gloss-validated
MT	Hos.12.14	Hos.12.13	empirical sequence alignment, gloss-validated
MT	Hos.12.15	Hos.12.14	empirical sequence alignment, gloss-validated
MT	Hos.12.2	Hos.12.1	empirical sequence alignment, gloss-validated
MT	Hos.12.3	Hos.12.2	empirical sequence alignment, gloss-validated
MT	Hos.12.4	Hos.12.3	empirical sequence alignment, gloss-validated
MT	Hos.12.5	Hos.12.4	empirical sequence alignment, gloss-validated
MT	Hos.12.6	Hos.12.5	empirical sequence alignment, gloss-validated
MT	Hos.12.7	Hos.12.6	empirical sequence alignment, gloss-validated
MT	Hos.12.8	Hos.12.7	empirical sequence alignment, gloss-validated
MT	Hos.12.9	Hos.12.8	empirical sequence alignment, gloss-validated
MT	Hos.14.1	Hos.13.16	empirical sequence alignment, gloss-validated
MT	Hos.14.10	Hos.14.9	empirical sequence alignment, gloss-validated
MT	Hos.14.2	Hos.14.1	empirical sequence alignment, gloss-validated
MT	Hos.14.3	Hos.14.2	empirical sequence alignment, gloss-validated
MT	Hos.14.4	Hos.14.3	empirical sequence alignment, gloss-validated
MT	Hos.14.5	Hos.14.4	empirical sequence alignment, gloss-validated
MT	Hos.14.6	Hos.14.5	empirical sequence alignment, gloss-validated
MT	Hos.14.7	Hos.14.6	empirical sequence alignment, gloss-validated
MT	Hos.14.8	Hos.14.7	empirical sequence alignment, gloss-validated
MT	Hos.14.9	Hos.14.8	empirical sequence alignment, gloss-validated
MT	Hos.2.1	Hos.1.10	empirical sequence alignment, gloss-validated
MT	Hos.2.10	Hos.2.8	empirical sequence alignment, gloss-validated
MT	Hos.2.11	Hos.2.9	empirical sequence alignment, gloss-validated
MT	Hos.2.12	Hos.2.10	empirical sequence alignment, gloss-validated
MT	Hos.2.13	Hos.2.11	empirical sequence alignment, gloss-validated
MT	Hos.2.14	Hos.2.12	empirical sequence alignment, gloss-validated
MT	Hos.2.15	Hos.2.13	empirical sequence alignment, gloss-validated
MT	Hos.2.16	Hos.2.14	empirical sequence alignment, gloss-validated
MT	Hos.2.17	Hos.2.15	empirical sequence alignment, gloss-validated
MT	Hos.2.18	Hos.2.16	empirical sequence alignment, gloss-validated
MT	Hos.2.19	Hos.2.17	empirical sequence alignment, gloss-validated
MT	Hos.2.2	Hos.1.11	empirical sequence alignment, gloss-validated
MT	Hos.2.20	Hos.2.18	empirical sequence alignment, gloss-validated
MT	Hos.2.21	Hos.2.19	empirical sequence alignment, gloss-validated
MT	Hos.2.22	Hos.2.20	empirical sequence alignment, gloss-validated
MT	Hos.2.23	Hos.2.21	empirical sequence alignment, gloss-validated
MT	Hos.2.24	Hos.2.22	empirical sequence alignment, gloss-validated
MT	Hos.2.25	Hos.2.23	empirical sequence alignment, gloss-validated
MT	Hos.2.3	Hos.2.1	empirical sequence alignment, gloss-validated
MT	Hos.2.4	Hos.2.2	empirical sequence alignment, gloss-validated
MT	Hos.2.5	Hos.2.3	empirical sequence alignment, gloss-validated
MT	Hos.2.6	Hos.2.4	empirical sequence alignment, gloss-validated
MT	Hos.2.7	Hos.2.5	empirical sequence alignment, gloss-validated
MT	Hos.2.8	Hos.2.6	empirical sequence alignment, gloss-validated
MT	Hos.2.9	Hos.2.7	empirical sequence alignment, gloss-validated
MT	Isa.63.19	Isa.64.1	empirical DP alignment (split:second), gloss-validated overlap=0.62
MT	Isa.64.1	Isa.64.2	empirical DP alignment (shift), gloss-validated
MT	Isa.64.10	Isa.64.11	empirical DP alignment (shift), gloss-validated
MT	Isa.64.11	Isa.64.12	empirical DP alignment (shift), gloss-validated
MT	Isa.64.2	Isa.64.3	empirical DP alignment (shift), gloss-validated
MT	Isa.64.3	Isa.64.4	empirical DP alignment (shift), gloss-validated
MT	Isa.64.4	Isa.64.5	empirical DP alignment (shift), gloss-validated
MT	Isa.64.5	Isa.64.6	empirical DP alignment (shift), gloss-validated
MT	Isa.64.6	Isa.64.7	empirical DP alignment (shift), gloss-validated
MT	Isa.64.7	Isa.64.8	empirical DP alignment (shift), gloss-validated
MT	Isa.64.8	Isa.64.9	empirical DP alignment (shift), gloss-validated
MT	Isa.64.9	Isa.64.10	empirical DP alignment (shift), gloss-validated
MT	Isa.8.23	Isa.9.1	empirical DP alignment (shift), gloss-validated
MT	Isa.9.1	Isa.9.2	empirical DP alignment (shift), gloss-validated
MT	Isa.9.10	Isa.9.11	empirical DP alignment (shift), gloss-validated
MT	Isa.9.11	Isa.9.12	empirical DP alignment (shift), gloss-validated
MT	Isa.9.12	Isa.9.13	empirical DP alignment (shift), gloss-validated
MT	Isa.9.13	Isa.9.14	empirical DP alignment (shift), gloss-validated
MT	Isa.9.14	Isa.9.15	empirical DP alignment (shift), gloss-validated
MT	Isa.9.15	Isa.9.16	empirical DP alignment (shift), gloss-validated
MT	Isa.9.16	Isa.9.17	empirical DP alignment (shift), gloss-validated
MT	Isa.9.17	Isa.9.18	empirical DP alignment (shift), gloss-validated
MT	Isa.9.18	Isa.9.19	empirical DP alignment (shift), gloss-validated
MT	Isa.9.19	Isa.9.20	empirical DP alignment (shift), gloss-validated
MT	Isa.9.2	Isa.9.3	empirical DP alignment (shift), gloss-validated
MT	Isa.9.20	Isa.9.21	empirical DP alignment (shift), gloss-validated
MT	Isa.9.3	Isa.9.4	empirical DP alignment (shift), gloss-validated
MT	Isa.9.4	Isa.9.5	empirical DP alignment (shift), gloss-validated
MT	Isa.9.5	Isa.9.6	empirical DP alignment (shift), gloss-validated
MT	Isa.9.6	Isa.9.7	empirical DP alignment (shift), gloss-validated
MT	Isa.9.7	Isa.9.8	empirical DP alignment (shift), gloss-validated
MT	Isa.9.8	Isa.9.9	empirical DP alignment (shift), gloss-validated
MT	Isa.9.9	Isa.9.10	empirical DP alignment (shift), gloss-validated
MT	Jer.8.23	Jer.9.1	empirical sequence alignment, gloss-validated
MT	Jer.9.1	Jer.9.2	empirical sequence alignment, gloss-validated
MT	Jer.9.10	Jer.9.11	empirical sequence alignment, gloss-validated
MT	Jer.9.11	Jer.9.12	empirical sequence alignment, gloss-validated
MT	Jer.9.12	Jer.9.13	empirical sequence alignment, gloss-validated
MT	Jer.9.13	Jer.9.14	empirical sequence alignment, gloss-validated
MT	Jer.9.14	Jer.9.15	empirical sequence alignment, gloss-validated
MT	Jer.9.15	Jer.9.16	empirical sequence alignment, gloss-validated
MT	Jer.9.16	Jer.9.17	empirical sequence alignment, gloss-validated
MT	Jer.9.17	Jer.9.18	empirical sequence alignment, gloss-validated
MT	Jer.9.18	Jer.9.19	empirical sequence alignment, gloss-validated
MT	Jer.9.19	Jer.9.20	empirical sequence alignment, gloss-validated
MT	Jer.9.2	Jer.9.3	empirical sequence alignment, gloss-validated
MT	Jer.9.20	Jer.9.21	empirical sequence alignment, gloss-validated
MT	Jer.9.21	Jer.9.22	empirical sequence alignment, gloss-validated
MT	Jer.9.22	Jer.9.23	empirical sequence alignment, gloss-validated
MT	Jer.9.23	Jer.9.24	empirical sequence alignment, gloss-validated
MT	Jer.9.24	Jer.9.25	empirical sequence alignment, gloss-validated
MT	Jer.9.25	Jer.9.26	empirical sequence alignment, gloss-validated
MT	Jer.9.3	Jer.9.4	empirical sequence alignment, gloss-validated
MT	Jer.9.4	Jer.9.5	empirical sequence alignment, gloss-validated
MT	Jer.9.5	Jer.9.6	empirical sequence alignment, gloss-validated
MT	Jer.9.6	Jer.9.7	empirical sequence alignment, gloss-validated
MT	Jer.9.7	Jer.9.8	empirical sequence alignment, gloss-validated
MT	Jer.9.8	Jer.9.9	empirical sequence alignment, gloss-validated
MT	Jer.9.9	Jer.9.10	empirical sequence alignment, gloss-validated
MT	Job.40.25	Job.41.1	empirical sequence alignment, gloss-validated
MT	Job.40.26	Job.41.2	empirical sequence alignment, gloss-validated
MT	Job.40.27	Job.41.3	empirical sequence alignment, gloss-validated
MT	Job.40.28	Job.41.4	empirical sequence alignment, gloss-validated
MT	Job.40.29	Job.41.5	empirical sequence alignment, gloss-validated
MT	Job.40.30	Job.41.6	empirical sequence alignment, gloss-validated
MT	Job.40.31	Job.41.7	empirical sequence alignment, gloss-validated
MT	Job.40.32	Job.41.8	empirical sequence alignment, gloss-validated
MT	Job.41.1	Job.41.9	empirical sequence alignment, gloss-validated
MT	Job.41.10	Job.41.18	empirical sequence alignment, gloss-validated
MT	Job.41.11	Job.41.19	empirical sequence alignment, gloss-validated
MT	Job.41.12	Job.41.20	empirical sequence alignment, gloss-validated
MT	Job.41.13	Job.41.21	empirical sequence alignment, gloss-validated
MT	Job.41.14	Job.41.22	empirical sequence alignment, gloss-validated
MT	Job.41.15	Job.41.23	empirical sequence alignment, gloss-validated
MT	Job.41.16	Job.41.24	empirical sequence alignment, gloss-validated
MT	Job.41.17	Job.41.25	empirical sequence alignment, gloss-validated
MT	Job.41.18	Job.41.26	empirical sequence alignment, gloss-validated
MT	Job.41.19	Job.41.27	empirical sequence alignment, gloss-validated
MT	Job.41.2	Job.41.10	empirical sequence alignment, gloss-validated
MT	Job.41.20	Job.41.28	empirical sequence alignment, gloss-validated
MT	Job.41.21	Job.41.29	empirical sequence alignment, gloss-validated
MT	Job.41.22	Job.41.30	empirical sequence alignment, gloss-validated
MT	Job.41.23	Job.41.31	empirical sequence alignment, gloss-validated
MT	Job.41.24	Job.41.32	empirical sequence alignment, gloss-validated
MT	Job.41.25	Job.41.33	empirical sequence alignment, gloss-validated
MT	Job.41.26	Job.41.34	empirical sequence alignment, gloss-validated
MT	Job.41.3	Job.41.11	empirical sequence alignment, gloss-validated
MT	Job.41.4	Job.41.12	empirical sequence alignment, gloss-validated
MT	Job.41.5	Job.41.13	empirical sequence alignment, gloss-validated
MT	Job.41.6	Job.41.14	empirical sequence alignment, gloss-validated
MT	Job.41.7	Job.41.15	empirical sequence alignment, gloss-validated
MT	Job.41.8	Job.41.16	empirical sequence alignment, gloss-validated
MT	Job.41.9	Job.41.17	empirical sequence alignment, gloss-validated
MT	Joel.3.1	Joel.2.28	empirical sequence alignment, gloss-validated
